Date,Function,Robot ID,ID in the Route,Address,Packages,Success,Soft help from Field Operator,Field Operator physically intervened,Autonomous Return,Order placement,Robot health,Connectivity,Cluttered environment,Gated environment,Payload addressability,Too risky to try,Did the parcel drop on the first package,Operator Comments
11/11/2025,Commercial,512,1,"8306 Kromer St Austin, TX 78757",0,No,N/A,Needed help,Not used,N/A,No faults,N/A,Path too tight,No gates,N/A,Too risky,,"Location was business, skipped by robot."
11/11/2025,Commercial,512,2,"8307 Kromer St Austin, TX 78757",1,,,,,,,,,,,,,
11/11/2025,Commercial,512,3,"8318 Polar Dr Austin, TX 78757",1,,,,,,,,,,,,,
11/11/2025,Commercial,512,4,"8502 Burrell Dr Austin, TX 78757",1,,,,,,,,,,,,,
11/11/2025,Commercial,512,5,"2107 Teakwood Dr Austin, TX 78757",1,,,,,,,,,,,,,
11/11/2025,Commercial,512,6,"7502 Saint Phillip St Austin, TX 78757",0,Missing,N/A,N/A,Not used,N/A,No faults,N/A,N/A,No gates,N/A,N/A,,Missing Package
11/11/2025,Commercial,512,7,"1709 Dartmouth Ave Austin, TX 78757",1,,,,,,,,,,,,,
11/11/2025,Commercial,512,8,"1308 Richcreek Rd Austin, TX 78757",0,Missing,N/A,N/A,Not used,N/A,No faults,N/A,N/A,No gates,N/A,N/A,,Missing Package
11/11/2025,Commercial,512,9,"1508 Madison Ave Austin, TX 78757",1,,,,,,,,,,,,,
11/11/2025,Commercial,512,10,"1205 Piedmont Ave Austin, TX 78757",1,,,,,,,,,,,,,
11/11/2025,Commercial,512,11,"902 Karen Ave Austin, TX 78756",1,,,,,,,,,,,,,
11/11/2025,Commercial,512,12,"1313 Dwyce Dr Austin, TX 78756",0,Missing,N/A,N/A,Not used,N/A,No faults,N/A,N/A,No gates,N/A,N/A,,Missing Package
11/11/2025,Commercial,512,13,"1716A Justin Ln Austin, TX 78757",1,,,,,,,,,,,,,
11/11/2025,Commercial,512,14,"1913 Pequeno St Austin, TX 78757",1,,,,,,,,,,,,,
